cache_size, BMRC_ratio, OMRC_ratio
1003202850, 0.919985, 0.919735
2006405700, 0.892106, 0.8918
3009608550, 0.871282, 0.870932
4012811400, 0.854279, 0.85383
5016014251, 0.839632, 0.83908
6019217101, 0.826809, 0.826147
7022419951, 0.815333, 0.814603
8025622801, 0.80488, 0.804058
9028825652, 0.795267, 0.794369
10032028502, 0.786454, 0.785471
11035231352, 0.778248, 0.77722
12038434202, 0.770534, 0.769448
13041637053, 0.763275, 0.762129
14044839903, 0.75652, 0.755333
15048042753, 0.750124, 0.748893
16051245603, 0.744053, 0.742775
17054448454, 0.738317, 0.736988
18057651304, 0.73288, 0.731506
19060854154, 0.727698, 0.726279
20064057004, 0.722807, 0.721346
21067259855, 0.718091, 0.716598
22070462705, 0.713607, 0.712069
23073665555, 0.709314, 0.707738
24076868405, 0.705249, 0.703651
25080071256, 0.701367, 0.699724
26083274106, 0.697662, 0.695995
27086476956, 0.694124, 0.692425
28089679806, 0.690736, 0.689008
29092882656, 0.687466, 0.685711
30096085507, 0.684359, 0.682589
31099288357, 0.681394, 0.679601
32102491207, 0.678509, 0.6767
33105694057, 0.675781, 0.673952
34108896908, 0.673106, 0.671262
35112099758, 0.67056, 0.668704
36115302608, 0.668135, 0.666273
37118505458, 0.665798, 0.663916
38121708309, 0.663547, 0.661638
39124911159, 0.661394, 0.659474
40128114009, 0.65932, 0.657386
41131316859, 0.657331, 0.655386
42134519710, 0.655409, 0.653456
43137722560, 0.65358, 0.651613
44140925410, 0.651834, 0.649852
45144128260, 0.650163, 0.64817
46147331111, 0.648552, 0.646538
47150533961, 0.646994, 0.644973
48153736811, 0.64551, 0.643477
49156939661, 0.644088, 0.642042
50160142512, 0.642731, 0.640668
51163345362, 0.641416, 0.639348
52166548212, 0.640141, 0.638065
53169751062, 0.638927, 0.636843
54172953912, 0.637754, 0.635663
55176156763, 0.636645, 0.634539
56179359613, 0.635548, 0.633435
57182562463, 0.634513, 0.632392
58185765313, 0.633512, 0.63138
59188968164, 0.632561, 0.630425
60192171014, 0.631648, 0.629503
61195373864, 0.630773, 0.628621
62198576714, 0.629926, 0.627768
63201779565, 0.629118, 0.626953
64204982415, 0.628349, 0.626179
65208185265, 0.62761, 0.625437
66211388115, 0.626898, 0.624722
67214590966, 0.626227, 0.624046
68217793816, 0.625606, 0.623421
69220996666, 0.62498, 0.622789
70224199516, 0.624395, 0.622201
71227402367, 0.623829, 0.621636
72230605217, 0.623299, 0.621102
73233808067, 0.622791, 0.620593
74237010917, 0.622309, 0.62011
75240213768, 0.621846, 0.61965
76243416618, 0.621412, 0.619215
77246619468, 0.621, 0.618798
78249822318, 0.620603, 0.618398
79253025168, 0.620234, 0.618028
80256228019, 0.619883, 0.617675
81259430869, 0.619545, 0.617338
82262633719, 0.619233, 0.617025
83265836569, 0.618952, 0.616742
84269039420, 0.618691, 0.61648
85272242270, 0.618454, 0.616242
86275445120, 0.61823, 0.616019
87278647970, 0.618028, 0.615816
88281850821, 0.617841, 0.61563
89285053671, 0.617667, 0.615457
90288256521, 0.61751, 0.615299
91291459371, 0.617369, 0.615159
92294662222, 0.617252, 0.615042
93297865072, 0.617143, 0.614932
94301067922, 0.617044, 0.614835
95304270772, 0.616957, 0.61475
96307473623, 0.616887, 0.614681
97310676473, 0.616837, 0.61463
98313879323, 0.616799, 0.614593
99317082173, 0.616778, 0.614572
100320285024, 0.616771, 0.614565
