cache_size, BMRC_ratio, OMRC_ratio
3063, 1.000000, 1.000000
6126, 1.000000, 1.000000
9190, 1.000000, 1.000000
12253, 1.000000, 1.000000
15317, 1.000000, 1.000000
18380, 1.000000, 1.000000
21444, 1.000000, 1.000000
24507, 1.000000, 1.000000
27571, 1.000000, 1.000000
30634, 1.000000, 1.000000
33697, 1.000000, 1.000000
36761, 1.000000, 1.000000
39824, 1.000000, 1.000000
42888, 1.000000, 1.000000
45951, 1.000000, 1.000000
49015, 1.000000, 1.000000
52078, 1.000000, 1.000000
55142, 1.000000, 1.000000
58205, 1.000000, 1.000000
61269, 1.000000, 1.000000
64332, 1.000000, 1.000000
67395, 1.000000, 1.000000
70459, 1.000000, 1.000000
73522, 1.000000, 1.000000
76586, 1.000000, 1.000000
79649, 1.000000, 1.000000
82713, 1.000000, 1.000000
85776, 1.000000, 1.000000
88840, 1.000000, 1.000000
91903, 1.000000, 1.000000
94966, 1.000000, 1.000000
98030, 1.000000, 1.000000
101093, 1.000000, 1.000000
104157, 1.000000, 1.000000
107220, 1.000000, 1.000000
110284, 1.000000, 1.000000
113347, 1.000000, 1.000000
116411, 1.000000, 1.000000
119474, 1.000000, 1.000000
122538, 1.000000, 1.000000
125601, 1.000000, 1.000000
128664, 1.000000, 1.000000
131728, 1.000000, 1.000000
134791, 1.000000, 1.000000
137855, 1.000000, 1.000000
140918, 1.000000, 1.000000
143982, 1.000000, 1.000000
147045, 1.000000, 1.000000
150109, 1.000000, 1.000000
153172, 1.000000, 1.000000
156235, 1.000000, 1.000000
159299, 1.000000, 1.000000
162362, 1.000000, 1.000000
165426, 1.000000, 1.000000
168489, 1.000000, 1.000000
171553, 1.000000, 1.000000
174616, 1.000000, 1.000000
177680, 1.000000, 1.000000
180743, 1.000000, 1.000000
183807, 1.000000, 1.000000
186870, 1.000000, 1.000000
189933, 1.000000, 1.000000
192997, 1.000000, 1.000000
196060, 1.000000, 1.000000
199124, 1.000000, 1.000000
202187, 1.000000, 1.000000
205251, 1.000000, 1.000000
208314, 1.000000, 1.000000
211378, 1.000000, 1.000000
214441, 1.000000, 1.000000
217504, 1.000000, 1.000000
220568, 1.000000, 1.000000
223631, 1.000000, 1.000000
226695, 1.000000, 1.000000
229758, 1.000000, 1.000000
232822, 1.000000, 1.000000
235885, 1.000000, 1.000000
238949, 1.000000, 1.000000
242012, 1.000000, 1.000000
245076, 1.000000, 1.000000
248139, 1.000000, 1.000000
251202, 1.000000, 1.000000
254266, 1.000000, 1.000000
257329, 1.000000, 1.000000
260393, 1.000000, 1.000000
263456, 1.000000, 1.000000
266520, 1.000000, 1.000000
269583, 1.000000, 1.000000
272647, 1.000000, 1.000000
275710, 1.000000, 1.000000
278773, 1.000000, 1.000000
281837, 1.000000, 1.000000
284900, 1.000000, 1.000000
287964, 1.000000, 1.000000
291027, 1.000000, 1.000000
294091, 1.000000, 1.000000
297154, 1.000000, 1.000000
300218, 1.000000, 1.000000
303281, 1.000000, 1.000000
306345, 1.000000, 1.000000
