cache_size, BMRC_ratio, OMRC_ratio
753992149, 0.905429, 0.906421
1507984299, 0.874131, 0.875344
2261976449, 0.852091, 0.853108
3015968598, 0.834328, 0.835049
3769960748, 0.819174, 0.819766
4523952898, 0.806121, 0.806772
5277945047, 0.794658, 0.795453
6031937197, 0.784430, 0.785373
6785929347, 0.775225, 0.776160
7539921496, 0.766617, 0.767595
8293913646, 0.759278, 0.760166
9047905796, 0.751933, 0.752920
9801897945, 0.745334, 0.746082
10555890095, 0.739161, 0.739846
11309882245, 0.733694, 0.734229
12063874395, 0.728428, 0.728888
12817866544, 0.723449, 0.723914
13571858694, 0.718390, 0.718883
14325850844, 0.714031, 0.714443
15079842993, 0.709718, 0.710198
15833835143, 0.705675, 0.706073
16587827293, 0.701610, 0.702011
17341819442, 0.697699, 0.698087
18095811592, 0.694075, 0.694542
18849803742, 0.690647, 0.691014
19603795891, 0.687374, 0.687899
20357788041, 0.684353, 0.684743
21111780191, 0.681275, 0.681640
21865772341, 0.678208, 0.678513
22619764490, 0.675601, 0.675874
23373756640, 0.673040, 0.673172
24127748790, 0.670467, 0.670602
24881740939, 0.667826, 0.667969
25635733089, 0.665299, 0.665502
26389725239, 0.663088, 0.663242
27143717388, 0.660751, 0.661027
27897709538, 0.658431, 0.658721
28651701688, 0.656512, 0.656782
29405693837, 0.654474, 0.654751
30159685987, 0.652493, 0.652795
30913678137, 0.650655, 0.650913
31667670286, 0.648829, 0.649049
32421662436, 0.647135, 0.647299
33175654586, 0.645567, 0.645802
33929646736, 0.643947, 0.644213
34683638885, 0.642581, 0.642784
35437631035, 0.641283, 0.641430
36191623185, 0.639951, 0.640042
36945615334, 0.638670, 0.638711
37699607484, 0.637384, 0.637500
38453599634, 0.636114, 0.636147
39207591783, 0.634874, 0.634936
39961583933, 0.633628, 0.633668
40715576083, 0.632560, 0.632561
41469568232, 0.631618, 0.631643
42223560382, 0.630573, 0.630599
42977552532, 0.629533, 0.629503
43731544682, 0.628488, 0.628459
44485536831, 0.627460, 0.627484
45239528981, 0.626639, 0.626675
45993521131, 0.625743, 0.625809
46747513280, 0.624997, 0.625074
47501505430, 0.624239, 0.624260
48255497580, 0.623372, 0.623388
49009489729, 0.622590, 0.622579
49763481879, 0.621850, 0.621885
50517474029, 0.621178, 0.621265
51271466178, 0.620494, 0.620548
52025458328, 0.619920, 0.619940
52779450478, 0.619265, 0.619309
53533442627, 0.618691, 0.618701
54287434777, 0.618025, 0.618087
55041426927, 0.617480, 0.617536
55795419077, 0.616859, 0.616934
56549411226, 0.616463, 0.616498
57303403376, 0.615998, 0.616050
58057395526, 0.615613, 0.615643
58811387675, 0.615297, 0.615305
59565379825, 0.614775, 0.614731
60319371975, 0.614430, 0.614381
61073364124, 0.614005, 0.613962
61827356274, 0.613620, 0.613601
62581348424, 0.613190, 0.613239
63335340573, 0.612885, 0.612953
64089332723, 0.612593, 0.612671
64843324873, 0.612426, 0.612488
65597317023, 0.612242, 0.612287
66351309172, 0.612041, 0.612098
67105301322, 0.611817, 0.611897
67859293472, 0.611622, 0.611702
68613285621, 0.611421, 0.611513
69367277771, 0.611295, 0.611386
70121269921, 0.611180, 0.611283
70875262070, 0.611076, 0.611163
71629254220, 0.610921, 0.611013
72383246370, 0.610852, 0.610927
73137238519, 0.610801, 0.610870
73891230669, 0.610772, 0.610836
74645222819, 0.610749, 0.610813
75399214969, 0.610726, 0.610784
